Year,Total enrolled,N-Total,N-Public,N-Private,K-Total,K-Public,K-Private,E-Total,E-Public,E-Private,H-Total,H-Public,H-Private,C-Total,C-Public,C-Private,C-Full time
2018,77149,4639,2708,1932,4045,3649,396,32715,30076,2640,16602,15344,1258,19149,15073,4076,14329
2017,77149,4639,2708,1932,4045,3649,396,32715,30076,2640,16602,15344,1258,19149,15073,4076,14329
2016,77232,4746,2806,1941,4017,3654,364,32604,29978,2627,16668,15330,1338,19196,14971,4225,14421
2015,77066,4532,2610,1922,4073,3644,428,32826,30173,2653,16535,15358,1177,19101,15175,3926,14236
2014,77214,4694,2693,2001,4069,3617,453,32622,29805,2817,16654,15379,1275,19175,15325,3850,14400
2013,77772,4682,2558,2124,4150,3725,425,32873,30171,2702,16601,15468,1133,19467,15514,3953,14228
2012,78426,4628,2732,1896,4138,3684,454,32683,29865,2818,17047,15704,1343,19930,15778,4152,14602
2011,79043,4946,2904,2042,4214,3732,482,32872,29965,2907,16613,15426,1187,20397,16134,4263,14903
2010,78519,4835,2776,2059,4172,3764,408,32663,29841,2822,16574,15338,1236,20275,16153,4122,14600
2009,77288,4708,2744,1964,4132,3767,365,32238,29365,2874,16445,15269,1177,19764,15722,4042,14364
2008,76353,4614,2632,1982,4047,3578,469,32344,29162,3182,16715,15397,1319,18632,14739,3893,13245
2007,75967,4628,2570,2058,4132,3656,476,32169,29052,3117,17082,15804,1278,17956,14072,3884,12656
2006,75197,4688,2519,2169,4039,3552,487,32089,28975,3113,17149,15617,1532,17232,13466,3766,12070
2005,75780,4603,2480,2123,3912,3349,563,32438,29072,3366,17354,15934,1420,17472,13435,4037,12237
2004,75461,4739,2487,2252,3992,3417,575,32556,29166,3389,16791,15498,1293,17383,13652,3731,11990
2003,74911,4928,2567,2361,3719,3098,622,32565,29204,3361,17062,15785,1276,16638,13109,3529,11490
2002,74046,4471,2246,2225,3571,2976,594,33132,29658,3474,16374,15064,1310,16497,12834,3664,11141
2001,73124,4289,2161,2128,3737,3145,591,33166,29800,3366,16059,14830,1230,15873,12421,3452,10404
2000,72214,4401,2217,2184,3832,3173,659,32898,29378,3520,15770,14431,1339,15314,12008,3305,10159
1999,72395,4578,2269,2309,3825,3167,658,32873,29264,3609,15916,14638,1278,15203,11659,3544,10112
1998,72109,4577,2265,2313,3828,3128,700,32573,29124,3449,15584,14299,1285,15547,11984,3563,10184
1997,72031,4500,2254,2246,3933,3271,663,32369,29308,3061,15793,14634,1159,15436,12091,3345,10236
1996,70297,4212,1868,2344,4034,3353,681,31515,28153,3362,15309,14113,1197,15226,12014,3212,9839
1995,69769,4399,2012,2387,3877,3174,704,31815,28384,3431,14963,13750,1213,14715,11372,3343,9544
1994,69272,4259,1940,2319,3863,3278,585,31512,28131,3381,14616,13539,1077,15022,11694,3329,9573
1993,64414,3032,1258,1774,4275,3589,686,31219,28278,2941,13989,12985,1004,11901,9440,2461,8706
1992,62082,2899,1098,1801,4130,3507,623,30165,27066,3102,13219,12268,952,11671,9282,2386,8503
1991,61276,2933,1094,1839,4152,3531,621,29591,26632,2958,13010,12069,945,11589,9078,2511,8461
1990,60588,3401,1212,2188,3899,3332,567,29265,26591,2674,12719,11818,903,11306,8889,2417,8154
1989,59236,2877,971,1906,3868,3293,575,28637,25897,2740,12786,11980,806,11066,8576,2490,7905
1988,58847,2639,838,1770,3958,3420,538,28223,25443,2778,13093,12095,998,10937,8663,2278,7771
1987,58691,2587,848,1739,4018,3423,595,27524,24760,2765,13647,12577,1070,10915,8556,2361,7560
1986,58153,2554,835,1719,3961,3328,633,27121,24163,2958,13912,12746,1166,10605,8153,2452,7507
1985,58014,2491,854,1637,3815,3221,594,26866,23803,3063,13979,12764,1215,10863,8379,2483,7720
1984,57313,2354,761,1593,3484,2953,531,26838,24120,2718,13777,12721,1057,10859,8467,2392,7822
1983,57745,2350,809,1541,3361,2706,656,27198,24203,2994,14010,12792,1218,10825,8185,2640,7711
1982,57905,2153,729,1423,3299,2746,553,27412,24381,3031,14123,13004,1118,10919,8354,2565,7736
1981,58390,2058,663,1396,3161,2616,545,27795,24758,3037,14642,13523,1119,10734,8159,2576,7569
1980,57348,1987,633,1354,3176,2690,486,27449,24398,3051,14556,,,10180,,,7147
1979,57854,1869,636,1233,3025,2593,432,27865,24756,3109,15116,13994,1122,9978,7699,2280,7010
1978,58616,1824,587,1237,2989,2493,496,28490,25252,3238,15475,14231,1244,9838,7427,2410,6979
1977,60013,1618,562,1056,3191,2665,526,29234,25983,3251,15753,14505,1248,10217,7925,2292,7196
1976,60482,1526,476,1050,3490,2962,528,29774,26698,3075,15742,14541,1201,9950,7739,2211,7176
1975,60969,1748,574,1174,3393,2851,542,30446,27166,3279,15683,14503,1180,9697,7704,1994,7105
1974,60259,1607,423,1184,3252,2726,526,31126,27956,3169,15447,14275,1172,8827,6905,1922,6351
1973,59392,1324,400,924,3074,2582,493,31469,28201,3268,15347,14162,1184,8179,6224,1955,6089
1972,60142,1283,402,881,3135,2636,499,32242,28693,3549,15169,14015,1155,8313,6337,1976,6314
1971,61106,1066,317,749,3263,2689,574,33507,29829,3678,15183,14057,1126,8087,6271,1816,6204
1970,60357,1096,333,763,3183,2647,536,33950,30001,3949,14715,13545,1170,7413,5699,1714,5763
1969,59913,860,245,615,3276,2682,594,33788,29825,3964,14553,13400,1153,7435,5439,1995,5810
1968,58791,816,262,554,3268,2709,559,33761,29527,4234,14145,12793,1352,6801,4948,1854,5357
1967,57656,713,230,484,3312,2678,635,33440,28877,4562,13790,12498,1292,6401,4540,1861,4976
1966,56167,688,215,473,3115,2527,588,32916,28208,4706,13364,11985,1377,6085,4178,1908,4847
1965,54701,520,127,393,3057,2439,618,32474,27596,4878,12975,11517,1457,5675,3840,1835,4414
1964,52490,471,91,380,2830,2349,481,31734,26811,4923,12812,11403,1410,4643,3025,1618,3556
1963,50356,,,,2340,1936,404,31245,26502,4742,12438,11186,1251,4336,2897,1439,3260
1962,48704,,,,2319,1914,405,30661,26148,4513,11516,10431,1085,4208,2820,1388,3237
1961,47708,,,,2299,1926,373,30718,26221,4497,10959,9817,1141,3731,2376,1354,2902
1960,46260,,,,2092,1691,401,30349,25814,4535,10249,9215,1033,3570,2307,1262,2681
1959,44370,,,,2032,1678,354,29382,24680,4702,9616,8571,1045,3340,2120,1220,2464
1958,42900,,,,1991,1569,422,28184,23800,4385,9482,8485,998,3242,2088,1155,
1957,41166,,,,1824,1471,353,27248,23076,4172,8956,8059,897,3138,2054,1084,
1956,39353,,,,1758,1566,192,26169,22474,3695,8543,7668,875,2883,1824,1059,
1955,37426,,,,1628,1365,263,25458,22078,3379,7961,7181,780,2379,1515,864,